metric_group	variant	z
half_life	recap_k2	6.1160126759910565
half_life	recap_k3	10.728858326106378
half_life	recap_k8	11.32060701175194
half_life	recap_k16	19.51159202923145
half_life	recap_k6	21.488086116290376
half_life	recap_k12	23.3094412893084
half_life	recap_k4	87.64967333654091
mixed_effects	recap_k16	-7.635091988806332
mixed_effects	recap_k12	-4.230921724989996
mixed_effects	recap_k3	-2.732366160341531
mixed_effects	recap_k4	-1.0479906591976753
mixed_effects	recap_k8	-0.6488132303342047
mixed_effects	recap_k2	-0.2116550813997998
mixed_effects	recap_k6	0.6129321778025543
