turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n,model,sample_id
1,,0,1.0,1,0.0,1,qwen,48
2,,0,1.0,1,0.0,1,qwen,48
3,,0,1.0,1,0.0,1,qwen,48
4,,0,1.0,1,0.0,1,qwen,48
5,,0,1.0,1,0.0,1,qwen,48
6,,0,1.0,1,0.0,1,qwen,48
7,,0,1.0,1,0.0,1,qwen,48
8,,0,1.0,1,0.0,1,qwen,48
9,,0,1.0,1,0.0,1,qwen,48
10,,0,1.0,1,0.0,1,qwen,48
11,,0,1.0,1,0.0,1,qwen,48
12,,0,1.0,1,0.0,1,qwen,48
13,,0,1.0,1,0.0,1,qwen,48
14,,0,1.0,1,0.0,1,qwen,48
15,,0,1.0,1,0.0,1,qwen,48
16,,0,1.0,1,0.0,1,qwen,48
17,,0,1.0,1,0.0,1,qwen,48
18,,0,1.0,1,0.0,1,qwen,48
19,,0,1.0,1,0.0,1,qwen,48
